construction,RPLY1_cured_angle,RBELT1_cured_angle,RBELT2_cured_angle,RPLY2_cured_angle,Curing Width_UDMSIteration,Rim Width_UDMSIteration,Tread Arc Radius 1,Belt Width 1,Belt Width 2,Rim Diameter,Section Height,Shoulder Radius,Cavity Outer Diameter,Cavity Section Width,inflation,Inner Perimeter,Apex Ending,Minimum Side Wall gauge,Base Gauge at Centre,Cap Thickness at centre,Non Skid Depth,Ply turnup height 1,Ply turnup height 2,Total Center Guage,Total Rubber Guage at Shoulder,Total Shoulder Gauge,size,Section Ratio,Belt_Angle_Difference,Belt_Width_Difference,RPLY1_epi,RBELT1_epi,RBELT2_epi,RCAPPLY_epi,RPLY2_epi,RPLY1_denier,RBELT1_denier,RBELT2_denier,RCAPPLY_denier,RPLY2_denier,Aspect_ratio
1+SL,90,25,-27,Not Applicable,7,6.5,500,168.261,156.578,16,131.13,129.01,661,228,180,425.086,31.603,2.5,3,7.3,7.48,0,0,15.22,0,5.776,215/60R16,0.575131579,52,11.683,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-27,Not Applicable,7,6.5,500,168.261,156.578,16,131.13,129.01,661,228,210,425.086,31.603,2.5,3,7.3,7.48,0,0,15.22,0,5.776,215/60R16,0.575131579,52,11.683,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
1+SL,90,25,-27,Not Applicable,7,6.5,500,168.261,156.578,16,131.13,129.01,661,228,230,425.086,31.603,2.5,3,7.3,7.48,0,0,15.22,0,5.776,215/60R16,0.575131579,52,11.683,28,18,18,30,Not Applicable,1000,NA,NA,1260,Not Applicable,60
2+0,90,27,-27,90,7.3,6,600,164.704,154.325,16,126.45,30,652,224.975,180,412.245,34.705,3.109,3.01,6.9,7.38,41.795,22.625,15.66,7.643,13.373,205/60R16,0.562062451,54,10.379,28,18,18,25,28,1000,NA,NA,1260,28,60
2+0,90,27,-27,90,7.3,6,600,164.704,154.325,16,126.45,30,652,224.975,210,412.245,34.705,3.109,3.01,6.9,7.38,41.795,22.625,15.66,7.643,13.373,205/60R16,0.562062451,54,10.379,28,18,18,25,28,1000,NA,NA,1260,28,60
2+0,90,27,-27,90,7.3,6,600,164.704,154.325,16,126.45,30,652,224.975,230,412.245,34.705,3.109,3.01,6.9,7.38,41.795,22.625,15.66,7.643,13.373,205/60R16,0.562062451,54,10.379,28,18,18,25,28,1000,NA,NA,1260,28,60
2+0,90,25,-27,-90,8,7.5,896,210.201,197.235,19,134.35,34.048,749,257,180,453.436,55.37676,4.88908,3,8,7.776,64.887,80.05814,17.49,6.908,13.501,245/55R19,0.522762646,52,12.966,29,18,18,25,29,1500,NA,NA,1260,29,55
2+0,90,25,-27,-90,8,7.5,896,210.201,197.235,19,134.35,34.048,749,257,210,453.436,55.37676,4.88908,3,8,7.776,64.887,80.05814,17.49,6.908,13.501,245/55R19,0.522762646,52,12.966,29,18,18,25,29,1500,NA,NA,1260,29,55
2+0,90,25,-27,-90,8,7.5,896,210.201,197.235,19,134.35,34.048,749,257,220,453.436,55.37676,4.88908,3,8,7.776,64.887,80.05814,17.49,6.908,13.501,245/55R19,0.522762646,52,12.966,29,18,18,25,29,1500,NA,NA,1260,29,55
1+SL,90,24,-24,Not Applicable,5.5,5,295,115.424,103.843,14,134.92,123.092,618.46,168.988,180,363.889,26.582,2.649,3,0.021,6.874,0,0,14.91,0,5.718,165/80R14,0.798399886,48,11.581,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,24,-24,Not Applicable,5.5,5,295,115.424,103.843,14,134.92,123.092,618.46,168.988,200,363.889,26.582,2.649,3,0.021,6.874,0,0,14.91,0,5.718,165/80R14,0.798399886,48,11.581,28,18,18,20,Not Applicable,1000,NA,NA,840,Not Applicable,80
1+SL,90,25,-24,Not Applicable,7,6.5,500,163.711,151.284,16,130.88,38.7,662,226.644,210,421.494,32.408,2.535,3.598,6.71,7.877,0,0,14.79,7.046,13.372,215/60R16,0.577469512,49,12.427,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
1+0,90,24,-24,Not Applicable,7,6,450,151.346,143.592,17,107.72,50.411,645.96,208.985,180,359.988,33.428,3.005,2.2,0.023,6.946,50,0,14.29,0,4.916,195/55R17,0.515443692,48,7.754,29,22,22,20,Not Applicable,1500,2x0p3HT,2x0p3HT,840,Not Applicable,55
